id,employee_id/id,job_id/id,wage,date_start,trial_date_start,trial_date_end,schedule_template_id/id,struct_id/id,pps_id/id,policy_group_id/id
contract_1,l10_plant_1,braam_flowers.job_supervisor_planting10,1530.65,2009-06-09,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_2,l10_plant_2,braam_flowers.job_supervisor_planting10,1530.65,2009-07-19,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_3,l10_plant_3,braam_flowers.job_supervisor_planting10,1530.65,2009-08-11,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_4,l10_plant_4,braam_flowers.job_manager_planting10,2130.7,2009-08-13,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_5,l10_plant_5,braam_flowers.job_worker_planting10,660,2009-09-23,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_6,l10_plant_6,braam_flowers.job_worker_planting10,660,2009-09-24,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_7,l10_plant_7,braam_flowers.job_worker_planting10,640,2009-11-15,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_8,l10_plant_8,braam_flowers.job_grpleader_planting10,841.86,2009-11-17,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_9,l10_plant_9,braam_flowers.job_worker_planting10,640,2009-11-20,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_10,l10_plant_10,braam_flowers.job_worker_planting10,640,2009-11-20,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_11,l10_plant_11,braam_flowers.job_worker_planting10,640,2009-12-29,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_12,l10_plant_12,braam_flowers.job_worker_planting10,640,2010-02-10,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_13,l10_plant_13,braam_flowers.job_worker_planting10,640,2010-05-14,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_14,l10_plant_14,braam_flowers.job_worker_planting10,640,2010-05-14,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_15,l10_plant_15,braam_flowers.job_worker_planting10,640,2010-05-15,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_16,l10_plant_16,braam_flowers.job_worker_planting10,640,2010-05-17,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_17,l10_plant_17,braam_flowers.job_grpleader_planting10,841.86,2010-05-27,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
